Sample_No,Sample_date,SourceNo,Rep,SingleSamp,Town,arsenic,fluoride,manganese,nitrate,nitrite,uranium,Latitude,Longitude
D024962001,16-Jun-08,2,b,,Blanchard Twp,0.56,0.1,0.0095,1.1,0.025,,,
D024961001,16-Jun-08,2,c,,Blanchard Twp,5.4,0.3,0.053,0.005,0.025,5.9,,
A018317001,30-Aug-05,68,a,Y,Blue Hill,0.1,0.1,0.31,0.1,0.005,0.25,44.36281716,-68.55149326
A014636001,25-Jul-05,21,a,,Blue Hill,0.1,,,,,,44.37328505,-68.56728552
A020430001,21-Sep-05,28,a,Y,Blue Hill,21,0.37,0.58,0.05,0.005,5.1,,
A021006001,11-Oct-05,45,a,Y,Blue Hill,16,,,,,,,
A005925001,25-May-05,17,a,Y,Blue Hill,1.1,0.1,0.0031,4.05,0.005,0.25,,
A006212001,31-May-05,37,a,Y,Blue Hill,3.6,0.1,0.0036,0.14,0.005,1.4,,
A017763001,04-Jan-06,70,a,Y,Blue Hill,3.2,0.1,1.3,0.05,0.005,0.25,,
A019636001,31-Aug-05,55,a,Y,Blue Hill,0.1,0.23,0.0056,0.13,0.005,0.8,,
A020042001,28-Sep-05,23,a,Y,Blue Hill,2.1,0.1,0.015,0.45,0.005,1.1,44.3539225,-68.54860038
A024662001,08-Nov-05,26,a,,Blue Hill,46,,1.3,0.05,0.005,1,44.41403686,-68.59965009
A026316001,15-Nov-05,62,a,Y,Blue Hill,120,0.33,0.049,0.05,0.005,0.7,,
A029096001,20-Dec-05,63,a,Y,Blue Hill,17,0.1,0.005,0.05,0.005,0.005,,
B002770001,23-Jan-06,46,a,Y,Blue Hill,0.6,0.1,0.0012,0.1,0.005,0.25,,
B021092001,26-Jun-06,14,a,Y,Blue Hill,3.1,0.1,1.1,0.5,0.005,0.25,44.35671238,-68.54880565
B006655001,22-Feb-06,53,a,,Blue Hill,28,,,,,,,
B020323001,16-Oct-06,67,a,Y,Blue Hill,19,0.7,0.015,0.5,0.005,0.25,44.41428134,-68.60675322
B017001001,16-May-06,57,a,,Blue Hill,4.1,,,0.5,,0.25,,
B014424001,27-Apr-06,69,a,Y,Blue Hill,9.2,1.66,0.0095,0.05,0.005,0.25,44.41817092,-68.61378938
